iter	Passed	Remaining
0	0	17
1	0	17
2	0	18
3	0	17
4	0	17
5	1	17
6	1	17
7	1	16
8	1	16
9	1	16
10	2	16
11	2	16
12	2	16
13	2	15
14	2	15
15	2	15
16	3	15
17	3	15
18	3	14
19	3	14
20	3	14
21	4	14
22	4	14
23	4	14
24	4	14
25	5	14
26	5	14
27	5	13
28	5	13
29	5	13
30	5	13
31	6	12
32	6	12
33	6	12
34	6	12
35	6	12
36	7	11
37	7	11
38	7	11
39	7	11
40	7	11
41	7	11
42	8	10
43	8	10
44	8	10
45	8	10
46	9	10
47	9	9
48	9	9
49	9	9
50	9	9
51	9	9
52	10	9
53	10	8
54	10	8
55	10	8
56	10	8
57	11	8
58	11	7
59	11	7
60	11	7
61	11	7
62	12	7
63	12	6
64	12	6
65	12	6
66	12	6
67	12	6
68	13	5
69	13	5
70	13	5
71	13	5
72	13	5
73	14	4
74	14	4
75	14	4
76	14	4
77	14	4
78	15	3
79	15	3
80	15	3
81	15	3
82	15	3
83	15	3
84	16	2
85	16	2
86	16	2
87	16	2
88	16	2
89	17	1
90	17	1
91	17	1
92	17	1
93	17	1
94	18	0
95	18	0
96	18	0
97	18	0
98	18	0
99	18	0
